title,url,snippet,__term,searchQuery
Principais resultados,https://www.poder360.com.br/poder-sportsmkt/plano-de-reforma-do-corinthians-da-direito-a-voto-a-socio-torcedor/,"Últimas notícias do Corinthians, jogos, resultados, escalação, fotos de treinos, futebol feminino, Neo Química Arena, Fiel Torcedor, basquete, futsal, ...Próximos jogos do Corinthians, resultados, vídeos, reforços, escalação e notícias do Corinthians ao vivo. Veja tudo sobre o meu Timão no ge.globo.Sport Club Corinthians Paulista, comumente referido como Corinthians, ou ainda pelo seu acrônimo SCCP, é um clube poliesportivo brasileiro da cidade de São ...O motivo da loucura do Bando! · O Timão trouxe de Salvador mais 3️⃣ pontos para a sequência do Brasileirão! 🏳️ · Photo by Corinthians on October 26, 2025.Sport Club Corinthians Paulista is a Brazilian professional sports club based in São Paulo, in the district of Tatuapé. Although it competes in multiple ...Notícias do Corinthians, próximos jogos e resultados do Corinthians.Corinthians TV · BASTIDORES | VITÓRIA 0 X 1 CORINTHIANS | BRASILEIRÃO 2025 | 30ª RODADA · Upcoming live streams · Videos · Shorts · Segunda-feira já começou com ...Visit ESPN for Corinthians live scores, video highlights, and latest news. Find standings and the full 2025 season schedule.Ao vivo, como assistir, próximos jogos, resultados, escalação, gols, mercado da bola, tabelas, estatísticas e últimas notícias do Corinthians.",Corinthians,"{""countryCode"": ""BR"", ""device"": ""DESKTOP"", ""domain"": ""google.com.br"", ""languageCode"": ""pt-BR"", ""locationUule"": null, ""page"": 1, ""resultsPerPage"": 10, ""term"": ""Corinthians"", ""type"": ""SEARCH"", ""url"": ""http://www.google.com.br/search?q=Corinthians&hl=pt-BR""}"
"Corinthians | Site Oficial | Últimas notícias, resultados e ...",https://www.corinthians.com.br/,"Últimas notícias do Corinthians, jogos, resultados, escalação, fotos de treinos, futebol feminino, Neo Química Arena, Fiel Torcedor, basquete, futsal, ...",Corinthians,"{""countryCode"": ""BR"", ""device"": ""DESKTOP"", ""domain"": ""google.com.br"", ""languageCode"": ""pt-BR"", ""locationUule"": null, ""page"": 1, ""resultsPerPage"": 10, ""term"": ""Corinthians"", ""type"": ""SEARCH"", ""url"": ""http://www.google.com.br/search?q=Corinthians&hl=pt-BR""}"
"Corinthians | Últimas notícias, resultados e próximos jogos",https://ge.globo.com/futebol/times/corinthians/,"Próximos jogos do Corinthians, resultados, vídeos, reforços, escalação e notícias do Corinthians ao vivo. Veja tudo sobre o meu Timão no ge.globo.",Corinthians,"{""countryCode"": ""BR"", ""device"": ""DESKTOP"", ""domain"": ""google.com.br"", ""languageCode"": ""pt-BR"", ""locationUule"": null, ""page"": 1, ""resultsPerPage"": 10, ""term"": ""Corinthians"", ""type"": ""SEARCH"", ""url"": ""http://www.google.com.br/search?q=Corinthians&hl=pt-BR""}"
Sport Club Corinthians Paulista,https://pt.wikipedia.org/wiki/Sport_Club_Corinthians_Paulista,"Sport Club Corinthians Paulista, comumente referido como Corinthians, ou ainda pelo seu acrônimo SCCP, é um clube poliesportivo brasileiro da cidade de São ...",Corinthians,"{""countryCode"": ""BR"", ""device"": ""DESKTOP"", ""domain"": ""google.com.br"", ""languageCode"": ""pt-BR"", ""locationUule"": null, ""page"": 1, ""resultsPerPage"": 10, ""term"": ""Corinthians"", ""type"": ""SEARCH"", ""url"": ""http://www.google.com.br/search?q=Corinthians&hl=pt-BR""}"
Corinthians (@corinthians) • Instagram photos and videos,https://www.instagram.com/corinthians/,"O motivo da loucura do Bando! · O Timão trouxe de Salvador mais 3️⃣ pontos para a sequência do Brasileirão! 🏳️ · Photo by Corinthians on October 26, 2025.",Corinthians,"{""countryCode"": ""BR"", ""device"": ""DESKTOP"", ""domain"": ""google.com.br"", ""languageCode"": ""pt-BR"", ""locationUule"": null, ""page"": 1, ""resultsPerPage"": 10, ""term"": ""Corinthians"", ""type"": ""SEARCH"", ""url"": ""http://www.google.com.br/search?q=Corinthians&hl=pt-BR""}"
SC Corinthians Paulista,https://en.wikipedia.org/wiki/SC_Corinthians_Paulista,"Sport Club Corinthians Paulista is a Brazilian professional sports club based in São Paulo, in the district of Tatuapé. Although it competes in multiple ...",Corinthians,"{""countryCode"": ""BR"", ""device"": ""DESKTOP"", ""domain"": ""google.com.br"", ""languageCode"": ""pt-BR"", ""locationUule"": null, ""page"": 1, ""resultsPerPage"": 10, ""term"": ""Corinthians"", ""type"": ""SEARCH"", ""url"": ""http://www.google.com.br/search?q=Corinthians&hl=pt-BR""}"
Corinthians é no Meu Timão,https://www.meutimao.com.br/,"Notícias do Corinthians, próximos jogos e resultados do Corinthians.",Corinthians,"{""countryCode"": ""BR"", ""device"": ""DESKTOP"", ""domain"": ""google.com.br"", ""languageCode"": ""pt-BR"", ""locationUule"": null, ""page"": 1, ""resultsPerPage"": 10, ""term"": ""Corinthians"", ""type"": ""SEARCH"", ""url"": ""http://www.google.com.br/search?q=Corinthians&hl=pt-BR""}"
Corinthians TV,https://www.youtube.com/corinthians,Corinthians TV · BASTIDORES | VITÓRIA 0 X 1 CORINTHIANS | BRASILEIRÃO 2025 | 30ª RODADA · Upcoming live streams · Videos · Shorts · Segunda-feira já começou com ...,Corinthians,"{""countryCode"": ""BR"", ""device"": ""DESKTOP"", ""domain"": ""google.com.br"", ""languageCode"": ""pt-BR"", ""locationUule"": null, ""page"": 1, ""resultsPerPage"": 10, ""term"": ""Corinthians"", ""type"": ""SEARCH"", ""url"": ""http://www.google.com.br/search?q=Corinthians&hl=pt-BR""}"
"Corinthians Scores, Stats and Highlights",https://www.espn.com/soccer/team/_/id/874/corinthians,"Visit ESPN for Corinthians live scores, video highlights, and latest news. Find standings and the full 2025 season schedule.",Corinthians,"{""countryCode"": ""BR"", ""device"": ""DESKTOP"", ""domain"": ""google.com.br"", ""languageCode"": ""pt-BR"", ""locationUule"": null, ""page"": 1, ""resultsPerPage"": 10, ""term"": ""Corinthians"", ""type"": ""SEARCH"", ""url"": ""http://www.google.com.br/search?q=Corinthians&hl=pt-BR""}"
"Corinthians | Notícias, Próximos Jogos, Resultados e Vídeos",https://www.uol.com.br/esporte/futebol/times/corinthians/,"Ao vivo, como assistir, próximos jogos, resultados, escalação, gols, mercado da bola, tabelas, estatísticas e últimas notícias do Corinthians.",Corinthians,"{""countryCode"": ""BR"", ""device"": ""DESKTOP"", ""domain"": ""google.com.br"", ""languageCode"": ""pt-BR"", ""locationUule"": null, ""page"": 1, ""resultsPerPage"": 10, ""term"": ""Corinthians"", ""type"": ""SEARCH"", ""url"": ""http://www.google.com.br/search?q=Corinthians&hl=pt-BR""}"
